Unique_ID,Mothur_ID,Site,week,StoretID,date,month,year
2018_6_21940001,6_21940001,Brushy Creek Beach,,21940001,06/26/18,June,2018
2018_7_21040001,7_21040001,Honey Creek Resort Beach,,21040001,07/03/18,July,2018
2018_7_21070001,7_21070001,George Wyth Beach,,21070001,07/03/18,July,2018
2018_7_21130001,7_21130001,North Twin Lake West Beach ,,21130001,07/03/18,July,2018
2018_7_21130002,7_21130002,North Twin Lake East Beach ,,21130002,07/03/18,July,2018
2018_7_21150001,7_21150001,Lake Anita Beach,,21150001,07/03/18,July,2018
2018_7_21170001,7_21170001,Clear Lake Beach,,21170001,07/03/18,July,2018
2018_7_21170002,7_21170002,McIntosh Woods Beach,,21170002,07/03/18,July,2018
2018_7_21260001,7_21260001,Lake Wapello Beach,,21260001,07/03/18,July,2018
2018_7_21270001,7_21270001,Nine Eagles Beach,,21270001,07/03/18,July,2018
2018_7_21280001,7_21280001,Backbone Beach,,21280001,07/03/18,July,2018
2018_7_21300001,7_21300001,Gull Point Beach,,21300001,07/03/18,July,2018
2018_7_21300002,7_21300002,Pike’s Point Beach,,21300002,07/03/18,July,2018
2018_7_21300003,7_21300003,Triboji Beach,,21300003,07/03/18,July,2018
2018_7_21300004,7_21300004,Emerson Bay Beach,,21300004,07/03/18,July,2018
2018_7_21300005,7_21300005,Crandall’s Beach,,21300005,07/03/18,July,2018
2018_7_21350001,7_21350001,Beed’s Lake Beach,,21350001,07/03/18,July,2018
2018_7_21390001,7_21390001,Springbrook Beach,,21390001,07/03/18,July,2018
2018_7_21420001,7_21420001,Lower Pine Lake Beach,,21420001,07/03/18,July,2018
2018_7_21500001,7_21500001,Rock Creek Beach,,21500001,07/03/18,July,2018
2018_7_21520001,7_21520001,Lake Macbride Beach,,21520001,07/03/18,July,2018
2018_7_21590001,7_21590001,Red Haw Beach,,21590001,07/03/18,July,2018
2018_7_21620001,7_21620001,Lake Keomah Beach,,21620001,07/03/18,July,2018
2018_7_21670001,7_21670001,Lewis and Clark (Blue Lake) Beach,,21670001,07/03/18,July,2018
2018_7_21690001,7_21690001,Viking Lake Beach,,21690001,07/03/18,July,2018
2018_7_21770001,7_21770001,Big Creek Beach,,21770001,07/03/18,July,2018
2018_7_21780001,7_21780001,Lake Manawa Beach,,21780001,07/03/18,July,2018
2018_7_21810001,7_21810001,Denison Beach,,21810001,07/03/18,July,2018
2018_7_21810002,7_21810002,Black Hawk Beach,,21810002,07/03/18,July,2018
2018_7_21830001,7_21830001,Prairie Rose Beach,,21830001,07/03/18,July,2018
2018_7_21860001,7_21860001,Union Grove Beach,,21860001,07/03/18,July,2018
2018_7_21870001,7_21870001,Lake of Three Fires Beach,,21870001,07/03/18,July,2018
2018_7_21880001,7_21880001,Green Valley Beach,,21880001,07/03/18,July,2018
2018_7_21890001,7_21890001,Lacey-Keosauqua Beach,,21890001,07/03/18,July,2018
2018_7_21910001,7_21910001,Lake Ahquabi Beach,,21910001,07/03/18,July,2018
2018_7_21920001,7_21920001,Lake Darling Beach,,21920001,07/03/18,July,2018
2018_7_21940001,7_21940001,Brushy Creek Beach,,21940001,07/03/18,July,2018
