Unique_ID,Mothur_ID,Site,week,StoretID,date,month,year
2018_6_21040001,6_21040001,Honey Creek Resort Beach,,21040001,06/26/18,June,2018
2018_6_21070001,6_21070001,George Wyth Beach,,21070001,06/26/18,June,2018
2018_6_21130001,6_21130001,North Twin Lake West Beach ,,21130001,06/26/18,June,2018
2018_6_21130002,6_21130002,North Twin Lake East Beach ,,21130002,06/26/18,June,2018
2018_6_21150001,6_21150001,Lake Anita Beach,,21150001,06/26/18,June,2018
2018_6_21170001,6_21170001,Clear Lake Beach,,21170001,06/26/18,June,2018
2018_6_21170002,6_21170002,McIntosh Woods Beach,,21170002,06/26/18,June,2018
2018_6_21260001,6_21260001,Lake Wapello Beach,,21260001,06/26/18,June,2018
2018_6_21270001,6_21270001,Nine Eagles Beach,,21270001,06/26/18,June,2018
2018_6_21280001,6_21280001,Backbone Beach,,21280001,06/26/18,June,2018
2018_6_21300001,6_21300001,Gull Point Beach,,21300001,06/26/18,June,2018
2018_6_21300002,6_21300002,Pike’s Point Beach,,21300002,06/26/18,June,2018
2018_6_21300003,6_21300003,Triboji Beach,,21300003,06/26/18,June,2018
2018_6_21300004,6_21300004,Emerson Bay Beach,,21300004,06/26/18,June,2018
2018_6_21300005,6_21300005,Crandall’s Beach,,21300005,06/26/18,June,2018
2018_6_21350001,6_21350001,Beed’s Lake Beach,,21350001,06/26/18,June,2018
2018_6_21420001,6_21420001,Lower Pine Lake Beach,,21420001,06/26/18,June,2018
2018_6_21500001,6_21500001,Rock Creek Beach,,21500001,06/26/18,June,2018
2018_6_21520001,6_21520001,Lake Macbride Beach,,21520001,06/26/18,June,2018
2018_6_21590001,6_21590001,Red Haw Beach,,21590001,06/26/18,June,2018
2018_6_21620001,6_21620001,Lake Keomah Beach,,21620001,06/26/18,June,2018
2018_6_21670001,6_21670001,Lewis and Clark (Blue Lake) Beach,,21670001,06/26/18,June,2018
2018_6_21690001,6_21690001,Viking Lake Beach,,21690001,06/26/18,June,2018
2018_6_21770001,6_21770001,Big Creek Beach,,21770001,06/26/18,June,2018
2018_6_21810001,6_21810001,Denison Beach,,21810001,06/26/18,June,2018
2018_6_21810002,6_21810002,Black Hawk Beach,,21810002,06/26/18,June,2018
2018_6_21830001,6_21830001,Prairie Rose Beach,,21830001,06/26/18,June,2018
2018_6_21860001,6_21860001,Union Grove Beach,,21860001,06/26/18,June,2018
2018_6_21870001,6_21870001,Lake of Three Fires Beach,,21870001,06/26/18,June,2018
2018_6_21880001,6_21880001,Green Valley Beach,,21880001,06/26/18,June,2018
2018_6_21890001,6_21890001,Lacey-Keosauqua Beach,,21890001,06/26/18,June,2018
2018_6_21910001,6_21910001,Lake Ahquabi Beach,,21910001,06/26/18,June,2018
2018_6_21920001,6_21920001,Lake Darling Beach,,21920001,06/26/18,June,2018
